,job_no,roles,companies,locations,experience,salaries,skills
0,1,data scientist: artificial intelligence,ibm,['bengaluru'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
1,2,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
2,3,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
3,4,data scientist,iqvia,"['hybrid - mumbai', ' gurugram', ' bengaluru']",8-12,not disclosed,"['data science', 'statistical modeling', 'regression', 'predictive analytics', 'predictive modeling', 'life sciences', 'healthcare analytics', 'healthcare']"
4,5,data scientist,ericsson,['bengaluru'],3-7,not disclosed,"['automation', 'orchestration', 'service assurance', 'project management', 'machine learning', 'agile', 'programming', 'jira']"
5,6,data scientist,capgemini,"['hybrid - chennai', ' bengaluru']",4-9,not disclosed,"['data science', 'machine learning', 'python', 'science', 'machine', 'data']"
6,7,urgent opening: data scientist / machine learning engineer | bangalore,kloud9,['hybrid - bengaluru'],3-8,20-32.5,"['python', 'pyspark', 'gcp', 'tensorflow', 'vertex', 'spark mllib', 'spark-core', 'jupyter notebook']"
7,8,sr data scientist - advanced machine learning,target,['bengaluru'],3-4,not disclosed,"['supply chain', 'product engineering', 'data analysis', 'analytical', 'machine learning', 'data structures', 'troubleshooting', 'sql']"
8,9,data scientist,johnson and johnson kenvue,['bengaluru'],4-6,not disclosed,"['supply chain', 'computer science', 'data analysis', 'operations research', 'data science', 'coding', 'machine learning', 'data mining']"
9,10,data scientist,pradeepit consulting services,['bengaluru'],3-7,not disclosed,"['analytical skills', 'data analysis', 'french', 'spanish', 'natural language processing', 'manager quality control', 'data mining', 'object oriented programming']"
10,11,data scientist 1,xoom,['bengaluru'],4-7,not disclosed,"['computer science', 'automation', 'operational risk', 'machine learning', 'wellness', 'risk management', 'ifrs', 'stakeholder management']"
11,12,data scientist,straive,"['hybrid - hyderabad', ' chennai', ' bengaluru']",4-6,not disclosed,"['marketing mix', 'data analytics', 'machine learning', 'python', 'sql', 'analytics', 'machine', 'marketing']"
12,13,data scientist - phd only,nds infoserv,['mumbai'],0-2,12-15,"['natural language processing', 'phd', 'deep learning', 'data science', 'processing', 'process', 'data', 'science']"
13,14,data scientist,privaini software india,['bengaluru'],5-8,not disclosed,"['data science libraries', 'machine learning', 'pytorch', 'aws sagemaker', 'natural language processing nlp', 'data science tools', 'svm', 'sql']"
14,15,data scientist,calsoft,"['pune(pune mumbai highway)', ' bengaluru']",5-7,not disclosed,"['natural language processing', 'machine learning', 'predictive modeling', 'artificial intelligence', 'neural networks', 'deep learning', 'data science', 'pattern recognition']"
15,16,lead data scientist - machine learning/artificial intelligence,tetrahed inc,['bengaluru'],7-10,not disclosed,"['data science', 'java', 'azure', 'strategy development', 'power bi', 'artificial intelligence', 'tableau', 'machine learning']"
16,17,group audit - data scientist,deutsche bank,['mumbai'],2-7,not disclosed,"['sql', 'python', 'confluence', 'data analytics', 'data analysis', 'natural language processing', 'scikit-learn', 'openshift']"
17,18,data scientist: artificial intelligence,ibm,['hyderabad'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
18,19,data scientist: artificial intelligence,ibm,['hyderabad'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
19,20,data scientist: artificial intelligence,ibm,['gurugram'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
20,21,data scientist: artificial intelligence,ibm,['bengaluru'],3-7,not disclosed,"['data analysis', 'pandas', 'deep learning', 'spark', 'data visualization', 'hive', 'pyspark', 'power bi']"
21,22,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
22,23,data scientist: artificial intelligence,ibm,['bengaluru'],5-7,not disclosed,"['python', 'data analytics', 'artificial intelligence', 'tableau', 'ml', 'hive', 'algorithms', 'data analysis']"
23,24,data scientist,iqvia,"['hybrid - mumbai', ' gurugram', ' bengaluru']",8-12,not disclosed,"['data science', 'statistical modeling', 'regression', 'predictive analytics', 'predictive modeling', 'life sciences', 'healthcare analytics', 'healthcare']"
24,25,data scientist,ericsson,['bengaluru'],3-7,not disclosed,"['automation', 'orchestration', 'service assurance', 'project management', 'machine learning', 'agile', 'programming', 'jira']"
25,26,data scientist,capgemini,"['hybrid - chennai', ' bengaluru']",4-9,not disclosed,"['data science', 'machine learning', 'python', 'science', 'machine', 'data']"
26,27,urgent opening: data scientist / machine learning engineer | bangalore,kloud9,['hybrid - bengaluru'],3-8,20-32.5,"['python', 'pyspark', 'gcp', 'tensorflow', 'vertex', 'spark mllib', 'spark-core', 'jupyter notebook']"
